Identification Number,Room Assignment for Day 1,Room Assignment for Day 2,Outlook 1,Outlook 2,Proposal 1,Proposal 2,Proposal 3,Proposal 4,Proposal 5,Proposal 6,Proposal 7,Proposal 8,Proposal 9,Proposal 10,Proposal 11,Proposal 12,Motivations 1,Motivations 2,Motivations 3,Motivations 4,Motivations 5,Motivations 6,Motivations 7,Motivations 8,Motivations 9,Motivations 10,Motivations 11,Motivations 12,Motivations 13,Motivations 14,Motivations 15,Motivations 16,Motivations 17,Motivations 18,Motivations 19,Motivations 20,Motivations 21,Motivations 22,Motivations 23,Motivations 24,Motivations 25,Motivations 26,Motivations 27,Motivations 28,Motivations 29,Motivations 30,Motivations 31,Motivations 32,Motivations 33,Values 1,Values 2,Values 3,Values 4,Values 5,Values 6,Values 7,Values 8,Values 9,Mutual Respect 1,Mutual Respect 2,Mutual Respect 3,Mutual Respect 4,Mutual Respect 5,Mutual Respect 6,Political Efficacy 1,Political Efficacy 2,Political Efficacy 3,Political Efficacy 4,Political Efficacy 5,Political Efficacy 6,Political Efficacy 7,Political Efficacy 8,Knowledge 1,Knowledge 2,Knowledge 3,Knowledge 4,Knowledge 5,Knowledge 6,Knowledge 7,Knowledge 8,Knowledge 9,Knowledge 10,Knowledge 11,Evaluation 1,Evaluation 2,Evaluation 3,Evaluation 4,Evaluation 5,Evaluation 6,Evaluation 7,Evaluation 8,Evaluation 9,View of the Democratic Party,View of the Republican Party,View of Congress,View of the President,Overall,Registered to Vote,Voted Before,Political Party Preference,Independent Party Lean,Democratic Party Loyalty,Republican Party Loyalty,Region,Gender,Race and Ethnicity,Education Category,Enrollment Status,University Type,Employment Status,Household Income Level,Interest in Political Issues (Before Deliberation),Interest in Political Issues (After Deliberation),Interest in Social Issues (Before Deliberation),Interest in Social Issues (After Deliberation),Economic Situation (Before Deliberation),Economic Situation (After Deliberation),Read the News on the Internet,Talked with Others about Politics,Use of Social Media for News,Household Income Level (Scale),Political Ideology (Scale),Political Ideology (Scale) (After Deliberation),Age (Scale)
301,,20210502-shapefuture-a-session2-m,3,10,4,10,10,10,4,10,0,10,2,5,8,5,10,10,10,0,10,10,10,10,9,10,10,10,1,5,10,10,0,0,0,0,10,10,10,,0,10,8,5,0,0,10,5,5,10,9,9,9,9,2,10,0,10,8,10,5,1,10,10,0,0,9,6,10,6,9,10,0,1,1,0,0,1,0,1,0,1,0,,,,,,,,,,10,0,30,0,,1,1,2,1,,,1,2,3,2,2,1,4,,2,2,1,1,3,3,7,0,1,8,0,0,
302,,,6,9,9,5,9,7,,9,3,8,4,7,7,9,8,9,9,,8,,7,7,7,7,7,6,7,7,9,8,4,,2,2,9,,,3,3,8,8,8,4,7,9,7,7,9,9,9,9,9,,8,4,9,8,8,,6,8,9,5,1,2,9,9,7,8,10,1,1,1,0,1,1,0,1,0,1,1,,,,,,,,,,80,40,55,80,,1,1,1,,1,,1,1,1,2,2,2,4,5,1,1,1,1,4,4,8,4,3,5,1,1,
303,20210501-shapefuture-b-session1-h,,4,6,,4,10,,10,10,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,10,7,10,10,3,,,,,,10,5,5,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,0,6,10,,10,5,5,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,40,,,63,,1,1,1,,2,,1,1,2,2,2,3,1,3,3,3,2,2,4,4,1,0,4,3,5,5,
304,20210501-shapefuture-b-session2-i,20210502-shapefuture-b-session2-h,,7,5,7,7,,7,,,,,,,,7,7,7,,6,,7,,,7,7,7,5,5,7,8,4,4,7,5,7,3,8,,5,,,,,,8,,,5,7,3,3,,3,7,6,8,8,5,7,7,7,,,7,8,,0,0,,,0,0,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,2,2,4,2,,,1,1,3,2,2,1,4,2,3,2,4,2,4,4,4,1,3,2,5,4,
305,,20210502-shapefuture-a-session2-f,4,7,10,7,7,10,10,,0,10,0,0,5,10,10,10,10,1,10,10,5,10,10,10,10,10,0,6,10,10,0,0,0,0,10,10,10,0,0,8,2,8,1,0,10,6,8,10,10,10,10,8,0,7,2,7,2,7,2,1,2,7,5,4,5,10,10,8,10,10,1,1,1,0,1,1,0,1,0,1,1,,,,,,,,,,75,1,60,70,,1,2,1,,1,,2,1,1,2,2,3,2,1,1,1,1,1,6,6,8,4,1,1,0,0,
306,,,0,7,5,10,10,10,10,10,0,10,0,0,10,0,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,9,10,7,0,10,10,10,10,0,10,5,5,0,0,10,,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,0,5,0,10,10,10,10,10,1,0,1,0,1,1,0,0,0,0,0,,,,,,,,,,81,21,15,89,,1,1,1,,1,,1,1,2,2,2,3,4,1,1,1,1,1,5,4,1,0,4,1,3,5,
307,20210501-shapefuture-b-session1-h,20210502-shapefuture-b-session1-c,5,7,5,6,5,,1,10,9,0,6,7,4,8,7,7,7,1,9,3,7,6,8,6,3,3,3,1,5,7,4,4,4,5,6,7,3,6,1,0,5,5,5,5,5,7,10,5,6,6,6,6,4,6,5,5,,,,10,7,,5,4,6,7,7,5,5,5,0,1,1,1,0,1,0,0,0,1,1,,,,,,,,,,63,29,45,,,2,2,1,,2,,2,,3,3,1,,1,4,3,2,2,1,3,3,5,1,2,4,4,3,
308,,,0,10,10,5,10,10,7,10,0,10,0,10,4,6,10,10,10,0,10,7,10,,5,,,,,,,10,0,1,1,0,10,10,10,8,0,10,7,9,0,0,10,,6,10,10,9,5,10,0,10,10,10,10,10,9,0,8,9,0,0,10,10,10,8,10,10,1,1,1,1,1,1,0,1,0,1,1,,,,,,,,,,53,0,,55,,1,1,1,,1,,1,1,1,2,2,1,2,1,1,1,1,1,5,3,6,2,2,1,1,1,
309,,,3,10,7,6,4,10,10,7,3,6,,4,10,3,10,10,10,10,10,10,10,10,10,9,9,9,8,8,10,8,0,5,6,3,10,10,10,6,0,10,5,1,2,0,10,8,10,10,10,10,10,10,,7,5,10,5,7,1,7,7,5,2,5,5,9,10,10,10,10,0,1,1,0,0,0,0,1,1,0,0,,,,,,,,,,70,30,60,70,,1,1,2,2,,,1,1,2,2,2,3,4,5,1,1,1,1,3,3,5,2,2,5,3,2,
310,,,0,6,3,7,0,0,0,7,4,10,0,6,7,5,6,6,5,5,7,5,8,8,8,6,7,6,3,8,7,4,4,3,4,3,9,8,4,4,0,4,6,7,2,2,8,3,5,9,9,9,9,9,4,10,3,9,3,8,1,7,6,8,1,2,8,9,10,10,3,10,1,1,0,0,1,1,1,1,0,1,1,,,,,,,,,,27,82,27,14,,1,1,4,3,,,2,1,1,1,1,,5,1,1,1,1,2,3,4,8,7,5,1,,5,
311,20210501-shapefuture-a-session2-t,20210502-shapefuture-a-session2-p,8,6,,9,4,0,9,3,10,,5,8,6,8,8,10,,2,10,4,10,,7,10,7,6,5,9,8,4,,8,10,3,2,,5,8,7,2,6,7,10,9,10,,,10,6,10,9,5,7,,6,10,6,7,2,10,10,10,1,7,10,9,,7,5,10,0,1,1,0,0,1,0,1,1,1,1,,,,,,,,,,56,77,80,,,1,1,3,,,2,2,2,1,2,2,2,1,1,1,1,1,1,2,3,7,4,2,1,7,9,
312,,20210502-shapefuture-b-session2-i,5,8,6,5,8,8,10,9,8,7,8,8,9,8,8,7,7,8,7,7,8,8,8,8,8,9,9,8,9,9,9,7,8,8,8,9,9,8,8,9,9,8,8,9,9,10,10,9,9,8,8,8,8,9,8,8,7,7,8,7,8,6,6,6,5,6,8,8,6,8,1,1,1,1,0,0,0,1,0,0,1,,,,,,,,,,73,72,57,67,,1,1,1,,1,,1,2,4,2,2,3,1,4,1,3,1,4,4,6,,3,4,4,7,9,
313,,,4,10,10,7,10,10,7,10,0,10,0,10,0,10,10,10,10,7,10,10,10,6,7,10,10,10,10,10,10,7,3,10,0,0,10,10,10,6,0,10,10,10,0,0,10,5,5,10,10,10,10,10,5,7,5,10,7,7,5,5,10,10,3,7,8,10,10,10,5,10,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,61,27,49,60,,1,1,1,,2,,1,,3,3,1,,1,2,2,2,1,2,3,4,8,3,2,2,0,0,
314,20210501-shapefuture-a-session2-u,20210502-shapefuture-a-session2-t,3,8,6,7,,9,,10,0,10,3,,8,,10,9,10,2,9,6,7,9,7,4,6,8,1,9,8,8,3,0,0,0,9,10,10,3,0,9,,,0,3,10,4,,10,10,10,10,10,4,10,,10,6,6,1,5,8,6,,1,6,7,5,6,7,10,1,0,1,0,1,1,1,1,0,1,1,,,,,,,,,,59,30,,61,,1,1,1,,2,,2,1,1,2,2,1,2,6,3,2,2,2,3,3,2,1,1,6,4,3,
315,,20210502-shapefuture-a-session1-h,5,7,7,7,7,5,5,10,6,5,5,5,7,5,7,8,8,5,8,5,5,7,7,9,8,7,7,7,7,8,3,1,7,7,7,10,7,7,5,5,5,5,5,3,10,,,7,7,8,7,5,5,6,5,7,7,7,2,5,10,10,3,4,7,6,5,5,10,10,1,1,1,1,1,1,0,1,1,0,1,,,,,,,,,,70,30,50,60,,2,2,1,,2,,1,2,4,2,2,3,1,2,2,2,2,2,4,4,3,1,2,2,3,4,
316,,,,6,3,7,10,8,7,7,8,3,3,8,7,3,8,10,5,10,10,10,10,10,10,4,6,8,3,7,7,7,3,8,7,8,8,10,7,5,10,2,6,3,9,7,10,3,10,10,10,4,7,9,7,8,10,10,6,7,7,10,10,10,3,10,10,10,9,9,7,10,0,0,1,0,0,1,0,1,0,0,1,,,,,,,,,,1,85,47,19,,1,1,3,,,2,1,1,3,2,2,2,1,1,3,2,2,2,4,3,6,2,1,1,4,4,
317,,,6,8,5,3,8,1,2,5,5,1,1,6,7,0,3,8,2,4,7,3,4,7,8,10,10,10,10,10,10,8,3,9,6,2,3,7,5,2,0,0,7,1,5,5,10,6,9,,,9,10,5,,4,7,6,7,7,0,5,3,7,2,3,6,7,7,7,0,10,0,1,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,0,0,20,,1,1,2,2,,,1,2,6,2,2,3,4,6,2,2,2,3,3,3,5,7,3,6,5,5,
318,,20210502-shapefuture-a-session1-b,3,10,5,4,6,7,10,8,4,8,3,8,,,8,8,5,7,7,9,8,6,6,8,6,6,7,4,6,9,3,5,4,3,7,7,6,4,2,4,2,4,5,2,5,5,5,4,3,3,4,4,4,5,7,6,,,7,2,6,2,4,6,8,6,2,0,0,5,1,0,1,0,0,1,0,0,0,0,1,,,,,,,,,,26,,,31,,1,1,2,1,,,1,1,6,1,1,,2,1,3,3,2,2,5,4,3,2,3,1,5,5,29
319,,20210502-shapefuture-a-session1-o,6,7,,8,4,4,3,9,1,5,1,,7,6,10,10,10,6,10,10,10,8,8,10,10,10,6,7,10,6,3,2,6,2,10,10,5,6,0,,,,0,0,10,,,10,10,10,8,8,6,8,9,10,7,7,7,9,9,7,3,6,3,9,9,6,0,10,0,1,1,1,1,1,0,1,0,1,1,,,,,,,,,,36,1,8,25,,1,1,1,,2,,2,1,1,2,2,,4,4,1,1,1,1,3,3,2,5,3,4,4,3,
320,20210501-shapefuture-a-session1-r,20210502-shapefuture-a-session1-i,2,9,2,2,8,10,8,10,2,7,5,3,4,7,7,7,6,1,7,9,8,4,6,8,6,4,1,5,5,8,1,0,7,6,8,9,8,2,0,7,4,8,1,0,9,1,3,9,6,8,5,3,3,8,4,8,7,10,9,3,7,9,1,0,8,7,9,10,2,10,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,90,5,40,90,,1,1,1,,1,,1,2,1,1,1,,1,4,1,1,1,1,4,4,8,5,4,4,1,1,29
321,20210501-shapefuture-a-session2-o,20210502-shapefuture-a-session2-w,6,10,10,7,10,8,5,10,6,9,8,7,5,6,8,5,10,6,10,10,4,8,4,7,8,6,8,7,7,10,5,6,7,6,8,8,10,7,0,10,7,5,6,9,6,10,9,5,7,7,8,3,5,8,3,6,1,5,5,5,6,7,7,5,7,8,5,4,7,5,1,1,1,0,0,1,0,1,1,1,0,,,,,,,,,,99,18,100,82,,1,1,1,,1,,1,2,2,1,1,,4,2,2,1,2,1,3,3,8,3,2,2,0,0,27
322,20210501-shapefuture-b-session2-f,20210502-shapefuture-b-session2-h,7,7,8,10,8,7,,10,3,7,2,7,3,8,7,8,8,5,8,6,7,6,7,8,8,6,4,7,7,10,4,9,3,2,10,7,8,4,1,6,4,4,4,,7,5,2,7,10,8,10,9,4,9,3,10,5,7,4,8,10,6,5,6,5,10,5,7,8,10,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,66,18,53,63,,1,1,1,,1,,1,,1,3,1,,1,1,2,2,1,1,4,3,8,4,1,1,2,3,24
323,20210501-shapefuture-b-session2-j,20210502-shapefuture-b-session2-j,6,8,6,9,,10,10,10,10,10,9,8,8,8,10,8,9,8,9,9,8,9,8,9,9,8,9,7,9,8,8,9,8,7,8,9,7,9,9,9,9,8,8,9,9,3,3,7,7,6,8,9,8,8,9,8,9,8,9,8,8,8,9,8,8,8,8,6,9,8,1,0,1,1,0,0,1,1,0,1,1,,,,,,,,,,100,83,100,100,,1,1,2,2,,,1,2,3,3,1,,1,5,2,2,1,1,3,3,7,5,2,5,10,7,26
324,20210501-shapefuture-a-session2-j,,6,8,5,7,8,4,3,8,4,5,3,6,6,6,8,8,7,6,7,7,9,8,9,8,8,8,8,9,9,7,3,6,1,1,7,8,6,7,3,5,7,7,6,6,5,7,6,8,8,7,9,8,6,5,6,8,2,6,1,8,6,3,2,3,7,6,5,9,7,7,0,1,1,0,1,1,0,1,0,0,1,,,,,,,,,,55,55,51,51,,1,1,2,3,,,1,1,3,2,2,2,1,1,2,2,1,1,3,4,5,5,3,1,5,6,
325,20210501-shapefuture-a-session1-f,20210502-shapefuture-a-session1-p,3,10,5,7,10,10,10,10,0,10,0,10,0,10,8,8,10,5,10,10,10,8,8,10,8,5,3,,10,8,2,0,0,0,10,10,10,10,0,10,10,10,0,0,10,5,5,10,10,7,10,10,5,10,5,8,5,10,5,8,10,10,7,0,0,10,7,6,10,10,0,1,1,1,1,0,1,1,0,1,1,,,,,,,,,,45,20,65,65,,1,1,4,1,,,1,1,1,1,1,,1,3,1,1,1,1,5,5,8,7,2,3,2,1,29
326,20210501-shapefuture-a-session2-s,20210502-shapefuture-a-session2-r,3,7,,10,7,,0,5,5,5,,5,,,7,10,10,5,10,6,10,,5,10,10,10,10,10,10,9,0,,0,0,8,,,7,,,,,3,5,,,,10,10,10,10,10,10,10,5,10,,6,,1,6,,3,3,6,10,4,5,9,10,0,0,1,0,1,1,1,0,0,0,0,,,,,,,,,,38,38,,41,,1,1,4,2,,,1,1,1,1,1,,4,7,2,2,1,1,2,3,2,3,2,7,3,4,18
327,20210501-shapefuture-a-session2-u,20210502-shapefuture-a-session2-r,5,9,,8,7,9,6,,4,9,6,,10,3,10,9,9,,7,,9,7,,,,,6,7,9,10,5,6,3,2,7,7,10,6,3,7,,,2,4,,,,10,9,10,9,8,5,9,5,10,5,6,2,5,7,8,5,4,5,8,7,2,8,10,0,1,1,0,0,1,0,0,0,1,1,,,,,,,,,,71,20,50,90,,1,1,1,,2,,1,1,5,2,2,1,4,,2,2,1,2,4,3,4,4,1,8,4,4,
328,,,4,10,5,5,10,6,5,10,0,10,0,7,5,9,10,8,7,3,4,3,,7,8,8,10,6,5,9,1,6,0,0,6,4,,10,3,3,3,10,6,8,0,0,10,5,8,,7,6,6,8,3,,0,10,10,10,7,5,8,8,0,8,6,8,10,10,0,10,1,1,1,1,1,1,0,1,0,1,1,,,,,,,,,,68,0,41,75,,1,1,1,,1,,1,2,1,3,1,,1,1,1,1,1,1,3,3,8,1,2,1,1,2,24
329,20210501-shapefuture-b-session1-f,,,8,,,7,3,8,8,2,7,3,9,8,9,6,9,10,8,10,7,7,7,8,9,9,9,10,8,9,8,10,9,8,9,9,8,8,9,8,9,9,7,4,3,8,,,7,10,8,10,8,8,10,8,10,7,8,10,8,9,9,4,3,8,8,9,8,9,9,0,1,1,0,0,1,0,0,0,0,1,,,,,,,,,,40,41,39,40,,1,1,2,2,,,1,2,3,3,1,,1,6,2,2,2,1,4,4,6,1,3,6,5,4,27
330,20210501-shapefuture-b-session1-e,,2,10,,3,4,10,7,6,6,0,5,2,6,4,10,6,6,7,10,9,8,10,10,6,5,4,4,3,10,10,10,8,5,5,7,6,9,8,0,2,4,3,5,5,10,4,5,10,5,7,7,5,7,9,10,9,,10,10,10,7,8,7,9,,5,9,,10,9,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,75,49,70,98,,1,2,4,4,,,2,1,6,1,1,,2,1,2,2,3,2,3,4,,0,3,1,5,1,28
331,20210501-shapefuture-b-session2-e,,7,5,4,4,7,5,8,10,1,8,1,8,8,1,8,4,7,0,6,5,4,8,8,8,5,5,3,3,8,4,3,1,7,3,7,7,8,3,0,7,8,2,3,7,7,1,1,8,8,7,8,6,3,8,9,9,5,9,6,9,6,10,4,10,5,6,3,8,2,7,0,1,1,0,1,1,0,0,0,1,1,,,,,,,,,,76,2,16,54,,1,1,1,,2,,1,2,3,3,1,,1,5,2,2,3,2,2,3,4,1,4,5,5,4,28
332,20210501-shapefuture-b-session1-b,,4,10,4,4,7,3,3,10,2,8,3,3,8,8,2,8,8,8,9,5,4,9,6,5,6,4,2,2,2,4,2,1,3,2,7,3,4,7,2,4,5,4,5,2,3,0,0,3,6,7,7,6,6,6,8,8,10,8,8,5,8,8,7,8,7,9,4,9,1,0,1,1,1,0,0,1,0,1,1,1,1,,,,,,,,,,71,39,51,51,,2,2,1,,2,,1,1,3,3,1,,1,5,2,2,2,2,3,5,8,3,3,5,3,4,21
333,20210501-shapefuture-a-session1-o,,4,10,8,8,10,10,9,10,0,8,0,9,0,8,10,8,10,3,9,8,8,7,8,7,8,9,10,8,8,10,4,0,,3,8,10,7,3,0,8,8,9,0,0,10,2,0,8,10,10,10,10,9,10,3,10,8,8,6,1,8,10,7,5,0,10,10,10,0,10,1,1,1,0,1,1,1,0,0,1,1,,,,,,,,,,75,0,51,80,,1,1,2,1,,,2,2,1,3,1,,2,6,2,1,1,1,2,1,8,1,4,6,3,3,22
334,20210501-shapefuture-a-session2-t,,2,,,,,,,,,,,,,,,,5,,7,,,,5,,,,,,,4,2,5,8,5,6,,,7,5,,,,,,,,,6,4,,,,6,6,9,8,8,6,,5,6,,0,0,7,5,2,5,2,10,1,1,1,0,1,1,0,1,0,0,1,,,,,,,,,,11,11,11,11,,1,1,4,2,,,1,2,6,1,1,,4,6,2,2,3,2,4,4,5,2,4,6,,,21
335,,20210502-shapefuture-a-session1-f,4,8,6,,7,9,3,10,3,8,0,8,,,7,8,10,,10,,,7,,,10,10,7,,,7,0,,3,3,10,,8,7,1,6,10,,2,2,10,,,8,10,3,5,8,1,10,10,10,5,7,5,7,10,5,0,4,2,8,9,9,9,10,0,1,1,1,1,1,0,1,0,1,1,,,,,,,,,,60,10,30,50,,1,1,1,,2,,1,3,2,2,2,2,4,5,2,2,1,1,3,4,4,2,2,5,2,2,
336,20210501-shapefuture-b-session2-g,20210502-shapefuture-b-session2-f,5,,2,3,3,1,0,0,9,0,8,2,10,0,1,7,2,0,9,0,9,,10,9,8,7,2,8,6,1,3,6,5,4,3,5,0,5,5,0,0,0,8,5,8,1,5,10,10,8,8,5,8,10,2,10,7,7,6,5,2,2,3,0,4,9,10,9,10,10,0,1,1,0,1,1,1,1,0,1,0,,,,,,,,,,45,45,45,45,,1,1,2,2,,,1,1,1,3,1,,5,1,1,1,1,1,5,5,6,3,3,1,,5,21
337,20210501-shapefuture-a-session1-as,,5,7,10,10,10,10,10,10,10,10,0,5,10,5,10,10,10,5,10,10,5,5,6,6,6,6,7,6,10,7,3,1,6,5,10,10,0,10,0,5,10,10,10,6,10,10,10,,10,10,,10,10,10,,,,10,,10,10,,10,10,,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,34,31,39,53,,2,2,1,,1,,1,2,3,3,1,,1,5,4,1,1,1,6,1,8,1,3,5,7,0,29
338,20210501-shapefuture-b-session2-b,,4,9,8,8,10,8,10,10,6,8,5,7,8,0,9,9,10,10,10,5,10,10,10,8,9,9,5,8,7,10,6,3,7,6,10,10,4,6,1,5,2,2,5,6,10,5,7,10,10,10,6,10,6,9,10,10,7,5,7,8,10,8,8,9,6,7,8,7,10,10,1,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,91,24,82,93,,1,1,1,,2,,1,1,3,1,1,,1,5,2,2,1,1,3,3,4,1,1,5,3,4,27
339,20210501-shapefuture-a-session2-a,,5,6,,,8,5,7,7,,8,6,,,,8,8,7,5,9,5,,5,,10,10,10,,9,,4,2,7,6,4,8,8,8,8,,,,,0,0,10,,,8,10,10,7,7,8,6,0,10,,5,0,5,5,,2,3,6,,7,4,10,10,0,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,37,50,71,51,,1,1,3,,,2,1,1,5,1,1,,2,1,2,1,2,1,4,4,3,1,5,1,6,5,27
340,20210501-shapefuture-b-session2-f,20210502-shapefuture-b-session2-i,3,10,7,5,8,10,10,10,0,0,0,0,0,10,10,10,10,6,10,7,8,2,6,9,8,7,7,4,5,9,2,0,0,0,10,10,8,0,0,0,0,10,0,0,5,7,8,3,4,7,9,10,0,10,6,10,5,10,8,6,9,5,3,7,9,10,8,8,4,10,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,23,6,10,17,,1,1,2,1,,,1,3,3,3,1,,1,6,2,2,2,2,3,3,4,3,1,6,3,4,28
341,20210501-shapefuture-b-session1-h,,6,5,,,7,10,4,10,5,7,3,,,1,10,10,10,,7,,9,,,10,10,10,5,10,10,5,3,3,0,0,10,10,10,5,0,7,,,1,0,7,,,8,10,9,10,1,,6,,10,,,,9,10,10,1,5,7,10,9,2,8,10,1,0,1,0,0,1,0,0,0,0,1,,,,,,,,,,90,10,85,100,,1,1,1,,1,,1,1,4,2,2,3,1,2,1,2,1,1,4,4,1,1,2,2,3,3,
342,20210501-shapefuture-b-session1-d,20210502-shapefuture-b-session1-d,4,10,10,10,10,5,10,10,1,10,5,5,10,8,10,10,10,5,10,10,10,10,7,7,8,8,6,10,5,10,0,7,4,0,10,10,10,10,3,5,4,5,2,3,10,5,5,10,10,,10,10,7,10,8,8,10,7,7,0,10,10,2,0,0,9,10,7,9,9,1,0,1,0,0,0,0,0,0,1,1,,,,,,,,,,35,17,14,25,,1,1,1,,2,,1,,3,3,1,,1,5,2,2,2,2,5,4,7,1,4,5,5,5,28
343,20210501-shapefuture-a-session1-p,20210502-shapefuture-a-session1-l,4,0,10,,10,10,10,10,0,10,0,0,5,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,0,0,10,10,5,10,10,10,10,0,10,0,10,0,0,10,0,0,10,10,10,10,10,5,10,10,10,0,10,10,0,0,0,0,10,10,10,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2,2,4,2,,,1,1,2,3,1,,1,2,4,4,4,2,6,5,1,0,1,2,,8,25
344,,,6,7,,,8,10,10,6,0,10,0,0,,,10,10,10,2,10,5,10,10,10,10,10,10,5,5,10,8,1,5,6,6,10,10,10,8,0,10,0,2,0,0,10,5,5,10,10,7,10,10,2,8,8,10,6,5,1,2,1,3,3,5,5,8,10,8,5,6,0,0,1,0,1,1,0,1,0,0,1,,,,,,,,,,70,20,10,5,,1,1,1,,2,,1,1,2,2,2,3,5,1,2,2,1,1,4,3,5,,3,1,1,1,
345,,20210502-shapefuture-b-session1-a,7,6,6,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,57,33,48,33,,2,2,2,2,,,1,2,3,1,1,,4,5,3,3,3,2,4,4,1,0,3,5,5,5,
346,,20210502-shapefuture-b-session1-c,7,9,6,5,5,8,5,8,6,7,1,,,,10,7,7,7,8,6,7,3,5,8,8,8,6,8,9,9,6,5,6,5,7,5,6,6,5,3,3,3,5,5,6,0,3,6,9,7,9,10,4,9,4,8,3,3,3,5,1,7,2,0,3,3,7,7,10,10,1,0,1,0,1,0,0,1,0,0,0,,,,,,,,,,60,0,40,65,,1,1,2,2,,,1,2,5,2,2,1,4,5,2,1,1,1,2,3,6,2,2,5,5,5,
347,20210501-shapefuture-a-session1-d,20210502-shapefuture-a-session1-p,5,4,7,7,7,8,6,7,5,7,8,,7,4,9,9,9,7,9,6,8,9,7,,,,3,7,7,6,3,3,4,3,7,9,9,10,0,5,5,5,,4,6,5,5,10,7,5,6,7,,6,8,8,6,8,8,5,7,7,5,4,4,,,8,6,10,1,1,1,0,0,0,0,1,0,1,1,,,,,,,,,,78,15,55,68,,1,1,1,,2,,1,,6,3,1,,1,,2,2,1,2,4,4,3,0,3,8,,,
348,20210501-shapefuture-a-session2-p,20210502-shapefuture-a-session2-i,3,9,10,9,10,10,8,10,10,10,1,6,7,0,10,7,9,3,9,9,8,6,8,9,6,4,0,0,0,10,3,9,4,8,8,10,6,10,0,8,7,4,3,0,10,0,0,10,8,9,8,9,2,6,3,10,7,8,6,7,10,7,4,6,4,8,8,5,7,10,0,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,55,30,44,52,,1,1,4,1,,,1,3,1,3,1,,4,1,2,2,1,1,4,3,4,2,2,1,3,3,
349,,,7,5,8,8,2,1,1,3,10,0,10,1,9,2,1,5,5,2,7,0,9,10,9,0,0,0,5,7,6,0,4,6,4,4,0,5,0,8,7,0,0,0,9,10,10,,,,,10,10,,10,10,6,8,5,6,2,8,2,9,4,2,1,5,7,8,10,10,1,1,1,0,0,1,1,1,0,1,1,,,,,,,,,,40,45,50,10,,1,1,3,,,1,1,1,4,2,2,2,4,,2,2,1,1,4,4,3,4,3,8,10,10,
350,,20210502-shapefuture-b-session1-c,4,10,4,8,7,3,5,10,2,10,0,8,6,3,4,7,6,2,7,7,7,3,8,9,8,7,8,6,6,10,4,8,5,2,8,9,0,9,0,7,8,5,0,4,3,0,1,7,8,8,6,5,6,7,6,7,,10,8,5,6,7,2,6,4,8,,0,8,9,0,1,1,0,0,0,0,0,0,1,1,,,,,,,,,,19,61,,24,,1,1,3,,,2,1,1,1,3,1,,1,2,3,3,2,3,2,3,5,2,2,2,4,6,
351,20210501-shapefuture-a-session2-q,20210502-shapefuture-a-session2-t,3,10,,,10,10,5,10,0,10,0,10,,8,10,,7,0,,,,,,5,3,2,0,7,,10,0,0,0,0,10,10,8,3,0,10,8,9,0,5,10,3,7,10,10,10,10,10,5,5,3,10,5,10,0,8,10,10,5,0,9,10,10,8,10,10,1,1,1,0,1,0,1,0,1,1,1,,,,,,,,,,70,10,85,90,,1,1,1,,1,,1,,1,3,1,,1,4,1,1,1,1,4,4,8,2,2,4,3,1,25
352,,20210502-shapefuture-b-session2-c,7,7,,,10,10,10,10,8,10,6,9,9,6,10,10,10,2,10,,10,6,7,,,,,,,5,1,7,5,,10,10,10,6,0,8,9,,4,1,10,,,10,10,8,7,10,10,10,8,10,6,3,1,5,10,5,1,6,5,8,2,0,5,10,0,0,1,0,1,0,0,0,0,1,1,,,,,,,,,,50,1,49,51,,1,1,1,,2,,2,1,2,2,2,1,4,6,2,2,1,1,3,3,5,2,1,6,4,2,
